,ILP,IQP,PIQP
0,1.8,1.8,1.8571428571428568
1,2.3,2.3,2.2857142857142856
2,3.2,3.2,3.2857142857142856
3,3.9,3.9,4.142857142857143
4,4.5,4.5,4.571428571428571
5,4.8,4.8,5.0
6,5.5,5.5,5.714285714285714
7,6.1,6.1,6.142857142857143
8,6.6,6.6,6.571428571428571
9,6.9,6.9,6.714285714285714
10,7.4,7.4,7.142857142857143
11,7.8,7.8,7.571428571428571
12,8.4,8.4,8.285714285714286
13,9.0,9.0,8.857142857142858
14,9.5,9.5,9.428571428571429
15,10.2,10.2,10.0
16,10.5,10.5,10.428571428571429
17,11.1,11.1,10.857142857142858
18,11.4,11.4,11.285714285714286
19,11.8,11.8,11.714285714285714
20,12.1,12.1,11.857142857142858
21,12.7,12.7,12.285714285714286
22,13.3,13.3,12.857142857142858
23,14.0,14.0,13.714285714285714
24,14.6,14.6,14.571428571428571
25,15.0,15.0,15.0
26,15.4,15.4,15.428571428571429
27,16.0,16.0,16.142857142857142
28,16.5,16.5,16.571428571428573
29,16.9,16.9,17.0
30,17.2,17.2,17.285714285714285
31,17.6,17.7,17.714285714285715
32,18.2,18.3,18.285714285714285
33,18.2,18.3,18.285714285714285
34,18.6,18.7,18.714285714285715
35,19.0,19.1,19.142857142857142
36,19.7,19.8,19.857142857142858
37,20.2,20.3,20.285714285714285
38,20.8,20.9,21.0
39,21.5,21.6,21.714285714285715
40,21.9,22.0,22.285714285714285
41,22.1,22.2,22.285714285714285
42,22.7,22.8,23.0
43,23.3,23.4,23.857142857142858
44,23.9,24.0,24.428571428571427
45,24.5,24.6,25.142857142857142
46,24.9,25.0,25.714285714285715
47,25.5,25.6,26.142857142857142
48,25.9,26.0,26.571428571428573
49,26.5,26.6,27.285714285714285
50,26.6,26.8,27.428571428571427
51,26.8,27.0,27.571428571428573
52,27.3,27.6,28.285714285714285
53,27.7,28.0,28.571428571428573
54,28.4,28.6,29.142857142857142
55,28.8,29.0,29.571428571428573
56,29.2,29.4,30.0
57,29.7,29.8,30.285714285714285
58,30.2,30.3,30.714285714285715
59,30.8,30.9,31.428571428571427
60,31.3,31.4,31.857142857142858
61,31.9,32.0,32.285714285714285
62,32.1,32.2,32.57142857142857
63,32.5,32.6,33.0
64,32.7,32.8,33.142857142857146
65,32.9,33.0,33.42857142857143
66,33.7,33.8,34.285714285714285
67,34.1,34.2,34.714285714285715
68,34.3,34.4,35.0
69,34.7,34.8,35.42857142857143
70,35.1,35.2,35.857142857142854
71,35.4,35.5,36.0
72,35.8,35.9,36.42857142857143
73,36.2,36.3,36.71428571428572
74,36.4,36.5,37.0
75,36.6,36.7,37.142857142857146
76,37.1,37.2,37.57142857142857
77,37.7,37.8,38.285714285714285
78,38.2,38.3,38.85714285714285
79,38.6,38.7,39.285714285714285
80,38.9,39.0,39.57142857142857
81,39.3,39.4,39.85714285714285
82,39.5,39.6,40.0
83,39.7,39.8,40.142857142857146
84,39.8,39.9,40.285714285714285
85,40.1,40.2,40.57142857142857
86,40.1,40.2,40.57142857142857
87,40.4,40.5,40.71428571428572
88,40.5,40.6,40.85714285714285
89,40.6,40.7,41.0
90,41.0,41.1,41.42857142857143
91,41.4,41.5,41.85714285714285
92,41.5,41.6,41.85714285714285
93,41.7,41.8,42.142857142857146
94,42.0,42.1,42.57142857142857
95,42.1,42.2,42.71428571428572
96,42.3,42.4,42.71428571428572
97,42.5,42.6,42.85714285714285
98,42.6,42.7,42.85714285714285
99,42.6,42.7,42.85714285714285
100,42.8,42.9,43.0
101,42.9,43.0,43.0
102,43.3,43.4,43.42857142857143
103,43.5,43.6,43.57142857142857
104,43.6,43.7,43.71428571428572
105,43.6,43.7,43.71428571428572
106,43.8,43.9,43.85714285714285
107,44.0,44.1,44.0
108,44.3,44.4,44.285714285714285
109,44.6,44.7,44.71428571428572
110,44.7,44.8,44.85714285714285
111,45.0,45.1,45.0
112,45.2,45.3,45.142857142857146
113,45.3,45.4,45.142857142857146
114,45.4,45.5,45.285714285714285
115,45.5,45.6,45.285714285714285
116,45.9,46.0,45.57142857142857
117,46.0,46.1,45.71428571428572
